id;title;company;location;job_description;job_url;search_role;search_location;extracted_skills;skills_count
;AI Engineer;High Five;Jakarta Raya, Indonesia;"Our Client builds production-grade AI sales agents for businesses in Southeast Asia, deployed on WhatsApp and Instagram. The agents run real sales conversations: answering questions, recommending products, taking bookings, processing payments, and following up automatically.




They are backed by Lightspeed Venture Partners, Monk's Hill Ventures, and M Venture Partners, with advisors including Kevin Aluwi (co-founder and ex-CEO of Gojek). It has 20+ enterprise clients in production.




Key Responsibilities

The internal AI tooling. Agent builder, agent fixer, copilot analyzer — you build and improve these so the Forward Deployed Engineering (FDE) team can ship better agents faster.
Harness and context engineering. You design and optimize the prompts, pipelines, and orchestration logic that make our agents actually perform in production.
Evaluation and debugging pipelines. You build the systems that catch AI failures before clients do — automated testing, AI judges, regression detection.
Model integration and routing. You stay current on what models are available, what they're good at, and you plug the right ones in at the right places.
AI infrastructure layer. You work with AWS, you understand latency and cost tradeoffs, and you make smart decisions about what runs where.
Shipping features end-to-end. You don't hand off to someone else. You design, build, test, and ship. You own it until it's in production and working.




Key Requirements

Builds agents, not just chatbots. You understand the difference between a prompt and a system. You've built multi-step agent workflows, tool-calling pipelines, or orchestration logic — not just single-turn LLM calls. You think in context, retrieval, routing, and evaluation.
Harness and context engineering depth. You know how to engineer a prompt system that's robust, not brittle. You understand context window management, structured outputs, chaining, and how to make an LLM do exactly what you need it to do even when the input is messy.
Ships fast and ships clean. You use Claude Code, Cursor, or whatever it takes to move at speed. But you also know how to review AI-generated code critically — you don't just accept the output, you own it. Your code goes to production, not just to demo.
Debugging instinct. When an agent fails, you don't shrug. You trace the failure, identify the root cause — whether it's the prompt, the context, the model, or the pipeline — and you fix it. You're the person who builds the tools that catch failures before they reach the client.
AWS and server literacy. Not DevOps-level, but you're comfortable with EC2, understand how to monitor a service, read logs when something breaks, and think about cost when you design something. You don't ship something that will fall over at 10x load.
Product sense. You understand who uses what you build. When you design the agent fixer or the copilot analyzer, you think about what the FDE actually needs — not just what's technically elegant. You ask ""does this make their job meaningfully easier"" before you ship.
Full ownership of your scope. You don't wait for a ticket to tell you something is broken. You don't finish a feature and walk away. You monitor, you iterate, you improve. Your KPI is whether the thing you built actually works in production, not whether the PR got merged.




Nice-to-haves

Experience with LLM evaluation frameworks (Langsmith, RAGAS, or custom eval pipelines)
Has built internal tooling used by non-technical teams (ops, sales, support)
Familiarity with RAG architecture, vector databases, or retrieval pipelines
Experience with multiple LLM providers and their tradeoffs (OpenAI, Anthropic, Gemini)
Has worked in a sales, CRM, or customer-facing AI product before";https://id.linkedin.com/jobs/view/ai-engineer-at-high-five-4422086587?position=30&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=S98JsLwRf2Z6uNHGPxxCVA%3D%3D;Data Scientist;Indonesia;['aws'];1
;Data Analytics Consultant (Junior & Senior);EY;Gambir;"About EY:

EY, a global leader operating in more than 150 countries delivers unparalleled service in Consulting and assists clients to transform and upskill their capabilities.

We serve our clients to build a better working world, helping them to create long-term value for people and society and build trust in the capital markets. That starts with a culture that believes in giving you the training, opportunities, and creative freedom to make things better. Whenever you join, however long you stay, the exceptional EY experience lasts a lifetime. And with a commitment to hiring and developing the most passionate people, we work towards our ambition to be the best employer.

At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture, and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The exceptional EY experience. It’s yours to build.

We look forward you to joining us in the EYDS AI and Data team:

Ideally, you must have:


Bachelor’s Degree or above in Information Systems, Computer Science, Informatics, Electronics and Communications, or related disciplines.
Minimum 1-2 years (for Associate level) and 3-5 years (for Senior level) in data engineering.


Job description:


Collect, process, and analyse large data sets to identify trends and patterns.
Develop and maintain dashboards and reports using Microsoft Power BI.
Collaborate with cross-functional teams to understand data needs and provide actionable insights.
Conduct data quality assessments and ensure data integrity.
Present findings and recommendations to stakeholders in a clear and concise manner.


Technical skill:


Data collection, processing and analysis
Identifying trends and patterns in data
Data visualization and dashboard development
Data quality assessment and ensuring data integrity


Tools:


Power BI
SQL-based databases


The opportunity:

You will help our clients navigate the business and technology transformation vision. We’ll look to you to provide our clients with a unique business and technology perspective on how technology can transform and improve their entire organization – starting with key business issues they face. This is a high-growth, high-visibility area with plenty of opportunities to enhance your skill set and build your career. 

Your key responsibilities:  

You’ll spend most of your time working with a wide variety of clients and your colleagues to deliver the latest trends, practices, technologies, and architecture to design, build and maintain scalable and robust solutions that unify, enrich, collaborate and deliver value.    

Skills and attributes for success:


Outstanding team player
High level of motivation
Strong work ethic
Self-starting attitude
Independent and able to manage and prioritize workload
Ability to quickly and positively adapt to change
Excellent written and verbal communication, presentation, client service, and technical writing skills, coupled with excellent executive presence.
Significant experience in managing and delivering medium to large teams on complex programs and projects.
Assessing, designing, architecting, and developing solutions leveraging the latest technologies and trends to exceed the business requirements
Unifying, enriching, and delivering value to derive insights and opportunities
Leveraging in-house and partners - platforms and solutions as needed and recommending and building new platforms/solutions as required to exceed business requirements
Communicating findings, recommendations, and opportunities to improve platforms and solutions
Demonstrating a deep understanding of technology, concepts, tools, features, functions, and benefits of different approaches
Seeking out information to learn about emerging methodologies and technologies
Clarifying problems by driving to understand the true issue
Looking for opportunities for improving methods and outcomes
Collaborating, influencing, and building consensus through constructive relationships and effective listening
Solving problems by incorporating data into decision making 
Proven track record of sales and delivery in a consulting context with established client relationships and experience


What we look for: 

We’re interested in passionate individuals with a strong vision and a desire to stay on top of trends. If you have a genuine passion for helping businesses achieve their full potential, then these role(s) are for you. 

What we offer:


Continuous learning: You’ll develop the mindset and skills to navigate whatever comes next
Success as defined by you: We’ll provide the tools and flexibility, so you can make a meaningful impact, on your way
Transformative leadership: We’ll give you the insights, coaching, and confidence to be the leader the world needs
Diverse and inclusive culture: You’ll be embraced for who you are and empowered to use your voice to help others find theirs


If you can demonstrate that you meet the criteria above, please contact us as soon as possible.";https://id.linkedin.com/jobs/view/data-analytics-consultant-junior-senior-at-ey-4388446814?position=31&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=5Wq5Q%2FvcF%2BH2d%2B1Ew26nHg%3D%3D;Data Scientist;Indonesia;['rust', 'scala', 'power bi', 'sql'];4
;Business Intelligence Engineer;Indodana;Jakarta;"Job Description

We are seeking a highly technical Business Intelligence Engineer to design, build, and maintain the data infrastructure that powers our analytics. You will be responsible for developing scalable data pipelines, building robust data models, and optimizing our data warehouse. Your work will be the foundation that enables our BI Analysts and business leaders to access clean, reliable, and performant data for their insights and decision-making.

Job Description


Design, build, and maintain scalable and reliable ETL/ELT pipelines to process data from diverse sources for any reporting use cases.
Develop and manage robust, reusable data models within our data warehouse (BigQuery) using data modeling best practices (star schemas, etc.).
Write, optimize, and productionize complex SQL and Python scripts for data transformation, cleaning, and validation to ensure data integrity.
Create and manage optimized data marts and summary tables that support the specific needs of our BI Analysts and visualization tools.
Collaborate with BI Analysts and business stakeholders to understand their data requirements and translate them into technical specifications for the data backend.
Monitor, debug, and optimize data pipeline performance, query speeds, and data warehouse health.
Implement data quality checks and governance processes to ensure all data is accurate, consistent, and trustworthy.


Qualifications


Having a bachelor's or master's degree in Computer Science, Information Systems, Engineering, or a related technical field.
Expert-level SQL skills, with the proven ability to write highly optimized advanced queries, stored procedures, and window functions on large-scale data.
Capable of coding with data processing tools are a major plus (e.g., Jupyter, Python).
Deep understanding of data modeling and data warehouse design principles (e.g., dimensional modeling, star schemas) to build efficient data backends.
Strong analytical and problem-solving skills to debug complex data pipelines, optimize query performance, and troubleshoot data integrity issues.
Excellent written and verbal communication skills to collaborate with BI Analysts and business stakeholders to translate their requirements into technical specifications.
Experience with modern data stack tools is a plus (e.g., dbt, Airflow, AWS Glue, Azure Data Factory, or other data orchestration tools).";https://id.linkedin.com/jobs/view/business-intelligence-engineer-at-indodana-4418938113?position=32&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=1n0UR%2B3POmx2%2BA8UfYa8Bw%3D%3D;Data Scientist;Indonesia;['rust', 'python', 'scala', 'aws', 'azure', 'sql', 'airflow'];7
;Senior Data Analyst;Ringkas;Jakarta Raya, Indonesia;"About Ringkas

We're building AI-powered financial infrastructure, working with 33 major banks to improve and scale their conversion.

What this role is

You'll own product and business data analytics — instrumentation, experiments, dashboards. You will report to the Head of Product, and you're in the room before features are built, not after.

What you'll do

Join product reviews before engineering starts to confirm we can actually measure what we're building.
Work with the PM to translate product goals into measurable metric specs — confirm what's trackable, flag what isn't before engineering starts.
Keep behavioral analytics data honest. Validate events, catch gaps, push engineering to fix them with a clear spec.
Cross-check numbers across analytics tools regularly and own it when they diverge.
Build BI dashboards the team can use without asking you.
Write complex SQL against raw data tables independently, without routing every analytical question through a data engineer.
Run experiment analysis — size tests, interpret results, and tell stakeholders clearly when something is inconclusive.
Pull patterns around retention, drop-off, and feature adoption, then turn them into a point of view.
As our Conversion Agent Product scales, dig into AI conversation data — funnel analysis, agent behavior, eval quality.

What we're looking for

4–6 years in product or growth analytics at a tech company that moves fast.
Strong SQL fluency — you don't need an engineer to model data before you can work.
Python for when SQL hits its limits — enough to do cohort analysis, statistical work, and light data manipulation independently.
You've caught a feature that wasn't measurable before it shipped, not after.
You've run experiments end-to-end and know the difference between inconclusive and failed.
Experience with product behavioral analytics tools.
Familiarity with Mixpanel and Metabase for stakeholder dashboards.
Comfortable building process where there isn't one yet.
You use AI tools day-to-day — we'll talk about this in the interview.

Strong plus if you have

Prior experience at a high-scale consumer tech company (Gojek, Traveloka, Grab, Shopee, or equivalent).
Background in fintech or lending.
Exposure to AI product analytics — conversation funnels, agent behavior, or eval data.
Exposure to dbt — comfortable reading models and trace lineage independently to understand where a number comes from.";https://id.linkedin.com/jobs/view/senior-data-analyst-at-ringkas-4418227658?position=34&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=EDfDjNulImZg3vDgEURxJg%3D%3D;Data Scientist;Indonesia;['python', 'sql'];2
;Business Intelligence Analyst ( Mid - Senior);Indodana;Gambir;"Job Description


Interpret data and analyze results using advanced query techniques and statistical methods to uncover actionable insights.
Create robust, reusable data querying, transformation, and visualization processes using tools such as Excel, SQL, BigQuery, Python, R, and other big data tools.
Develop analytical reports and represent large, complex sets of data through sophisticated visual representations and dashboards.
Proactively identify reporting needs and updates independently or based on stakeholder requirements within business processes.
Present information and insights in a way that drives fact-based decision-making across the organization.
Propose and define new business process improvement opportunities based on data to drive significant business impact.
Work closely with management to prioritize business and information needs while ensuring alignment with company goals.
Monitor deep-dive data analysis to identify trends or specific events and proactively escalate issues or findings discovered in business processes.
Mentor junior BI team members by providing guidance, reviewing their work, and offering constructive feedback on their projects.
Implement and maintain thorough documentation and records for all reports and dashboards created to ensure consistency and scalability.


Qualifications


Minimum of 2 years of professional experience in Business Intelligence, Data Analytics, or a related field.
Bachelor’s or Master’s degree in Information Systems, Computer Science, Mathematics, Statistics, or a related field.
Expert-level SQL skills with the ability to write advanced database queries; proficiency in Python, R, Java, or Javascript is highly desirable.
Ability to quickly disseminate data to find key trends and the skill to perform deep-dive data mining to understand the ""why"" behind those trends.
Comfortable working with datasets containing millions of rows and creating complex visualizations from raw data in a live dashboard environment.
Experience working with analytical tools such as Jupyter, Python, Hive, and BigQuery ML is a significant plus.
Excellent written and verbal communication skills, with the ability to explain complex technical findings to non-technical stakeholders.
Proven ability to lead complex data analysis projects and provide strategic recommendations to management.
Ability to work well and deliver high-quality results under pressure in a fast-paced environment";https://id.linkedin.com/jobs/view/business-intelligence-analyst-mid-senior-at-indodana-4419135108?position=35&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=IxCiRnfqCZogWsUunudqZg%3D%3D;Data Scientist;Indonesia;['javascript', 'python', 'scala', 'java', 'sql'];5
;Azure AI Engineer - Indonesia;CLaaS2SaaS;Indonesia;"This is a remote position.

Position: Azure AI Engineer (LLM & Copilot)


Experience: 5–6 years





About the Role


We are looking for an Azure AI Engineer to design, build, and deploy AI-powered applications on Azure. You will work with Azure AI Services, Azure OpenAI, Copilot Studio, Power Platform, and multi-LLM orchestration to deliver chatbots, knowledge assistants, and enterprise copilots.





You’ll collaborate with data engineers and business teams to create production-ready AI solutions that are scalable, secure, and impactful.





What You’ll Do


Build AI applications: chatbots, knowledge assistants, and copilots


Implement multi-LLM orchestration across Azure OpenAI, OpenAI, and other providers


Work with data engineers to leverage datasets for RAG workflows


Integrate AI solutions into business processes using Power Platform


Deploy AI apps on Azure (Functions, App Services, AKS, VMs)


Implement CI/CD and MLOps pipelines using Azure DevOps or GitHub Actions


Monitor performance, reliability, and cost using Azure Monitor and Application Insights


Maintain technical documentation and reusable assets


Stay current with Azure AI, Copilot, and related technologies








Requirements



What You Need


Bachelor’s or Master’s in Computer Science, AI/ML, or related field


3–6 years of experience in AI, software development, or Azure applications


Microsoft certifications: AI-102, AZ-204, DP-100, AZ-400





Hands-on experience with:


Azure AI Services and Azure OpenAI


Copilot Studio and Power Platform


Python or C# for AI/LLM development


Deploying applications on Azure


Experience with RAG pipelines, vector search, or knowledge integration


Understanding of security, governance, and compliance in Azure





Nice to Have


Experience integrating AI into enterprise systems (CRM, ERP, LMS)


Prompt engineering, fine-tuning, and evaluation of LLMs


Infrastructure-as-code: ARM, Bicep, or Terraform


Agile/Scrum experience";https://id.linkedin.com/jobs/view/azure-ai-engineer-indonesia-at-claas2saas-4417828900?position=36&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=0NmnQmTmZMaLSgDtcJGGeg%3D%3D;Data Scientist;Indonesia;['scrum', 'python', 'scala', 'azure', 'git', 'agile', 'c#'];7
;Data Operations Specialist (Data Ops) – Integrated HIS, EMR, ERP;PT DAYA CIPTA MANDIRI SOLUSI;Bandung;"Requirements

Qualifications

Education


Bachelor’s degree in Information Systems, Data Management, Health Informatics, Computer Science, or related field.
Certification in Healthcare Data Analytics, SQL, or Cloud Data Platforms (e.g., AWS, Azure) is a plus.


Experience


2–5 years in data operations, data quality, or ETL support, preferably in healthcare.
Direct experience working with HIS, EMR, and ERP systems (e.g., Epic, Cerner, Meditech, SAP, Oracle, Microsoft Dynamics).
Experience supporting data pipelines for analytics or machine learning (not just reporting).
Familiarity with labelling tools (e.g., Labelbox, Doccano) or data curation workflows is a plus.


Technical Skills


Intermediate SQL (joins, window functions, data type casting, performance tuning).
Basic Python or R – enough to validate data (pandas), call APIs, or rerun simple ETL scripts.
Understanding of data formats (JSON, Parquet, Avro, HL7/FHIR).
F Responsibilities


Job Summary

The Data Operations Specialist ensures high-quality, reliable, and continuous data flow between the Integrated Hospital Information System (HIS), Electronic Medical Record (EMR), and Enterprise Resource Planning (ERP) modules. Unlike a traditional data entry role, this position actively supports AI Engineers, Data Scientists, and MLOps by preparing, validating, monitoring, and troubleshooting production data pipelines that feed predictive models, clinical decision support, operational analytics, and automated workflows. The role sits at the intersection of healthcare operations and machine learning infrastructure.

________________________________________

Key Responsibilities


Data Pipeline Operations for AI/ML
Operate and monitor automated data extraction pipelines from HIS, EMR, and ERP into data lakes/warehouses used by AI models.
Ensure real-time/near-real-time data feeds for AI applications (e.g., patient deterioration prediction, length-of-st";https://id.linkedin.com/jobs/view/data-operations-specialist-data-ops-%E2%80%93-integrated-his-emr-erp-at-pt-daya-cipta-mandiri-solusi-4420923747?position=37&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=KyluPz43FNGv8OF5h61Kxw%3D%3D;Data Scientist;Indonesia;['pandas', 'python', 'aws', 'azure', 'sql'];5
;AI DevOps Engineer;TOG Indonesia;Jakarta Raya, Indonesia;"Tanggung Jawab Utama (Job Responsibilities):

Pengembangan Agentic AI: Merancang dan membangun arsitektur multi-agent AI yang mampu beroperasi secara otonom untuk tugas-tugas marketing, pre sales, dan sales (mencari prospek, web scraping, menyortir dokumen, menyusun penawaran/kuotasi, dan melakukan follow-up).
Otomatisasi Alur Kerja Bisnis: Merancang dan mengelola alur kerja otomatis (workflow automation) yang menghubungkan ekosistem AI dengan aplikasi operasional harian (seperti CRM, Email, Slack/Teams, Google Workspace, atau Office 365).
Integrasi Model & LLM Ops: Mengelola integrasi berbagai model AI (Large Language Models), melakukan penyesuaian kustomisasi respons, prompt engineering, dan deployment ke lingkungan produksi secara aman dan scalable.
Otomatisasi Infrastruktur (DevOps): Membangun pipeline CI/CD untuk aplikasi AI dan mengelola infrastruktur menggunakan teknologi kontainerisasi.




Keahlian Spesifik yang Diutamakan (Highly Preferred Skills):

Model LLM Terkemuka: Diutamakan memiliki pengalaman hands-on dalam membangun solusi dan mengintegrasikan API menggunakan Claude AI (Anthropic), Gemini AI (Google), dan tools LLM lainnya.
Otomatisasi Alur Kerja (Workflow Automation Tools): Mahir menggunakan platform otomatisasi (baik no-code/low-code maupun custom) seperti:

○ Zapier: Untuk otomatisasi instan lintas aplikasi.

○ n8n: Kemampuan mengelola alur kerja yang sangat detail dan self-hosted untuk kontrol data dan keamanan (sangat relevan untuk perusahaan System Integrator).

○ Microsoft Power Automate: Berpengalaman dalam mengotomatisasi proses bisnis di dalam ekosistem Microsoft (Office 365, Teams, Azure).

Agen AI Otonom & Riset (Autonomous Agents Tools): Terbiasa merancang agen mandiri menggunakan platform/framework seperti:

○ Gum Loop: Untuk automasi web scraping, ekstraksi data, penyortiran dokumen, dan eksekusi tindakan kompleks.

○ Vellum AI: Untuk manajemen alur kerja AI tingkat lanjut, kustomisasi respons LLM, dan pemrosesan dokumen individual.

○ (Pengalaman tambahan dengan LangChain, LlamaIndex, atau CrewAI adalah nilai plus yang sangat besar).

Keahlian Teknis Pendukung (Required Tech Stack):

Pemrograman: Penguasaan tingkat lanjut dalam Python (wajib).
DevOps & Infrastruktur: Mahir menggunakan Docker, Kubernetes (K8s), serta alat otomasi CI/CD. Pengalaman dengan infrastruktur cloud (AWS, GCP, atau Azure).
Keamanan Data: Memiliki pemahaman kuat tentang tata kelola data untuk memastikan agen AI beroperasi dalam standar keamanan siber yang ketat.




Pengalaman yang Dibutuhkan (Experience):

Minimal 3 hingga 5 tahun pengalaman kerja di bidang DevOps, Software Engineering, atau Automasi IT.
Minimal 1 hingga 2 tahun pengalaman terbukti dalam deployment aplikasi berbasis LLM/Generative AI, integrasi API AI, dan pembuatan alur kerja (workflow) otomasi untuk operasional bisnis.




Sertifikasi yang Diharapkan (Kualifikasi Plus):

Kandidat dengan salah satu sertifikasi berikut akan diprioritaskan:

AWS Certified Machine Learning / Google Cloud Professional Machine Learning Engineer.
Sertifikasi Cloud Architecture atau DevOps (AWS/Azure/GCP).
Sertifikasi dari platform otomasi (misal: Zapier Certified Expert atau Microsoft Power Platform).";https://id.linkedin.com/jobs/view/ai-devops-engineer-at-tog-indonesia-4418217987?position=38&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=wMHK033oTHJyJeRXLoL4MQ%3D%3D;Data Scientist;Indonesia;['kubernetes', 'python', 'scala', 'aws', 'azure', 'gcp', 'docker'];7
;Python Developer;TOG Indonesia;Jakarta Raya, Indonesia;"Job Descriptions:

Develop and maintain server-side logic for web applications using Python
Handle user authentication, database management, and data processing tasks.
Collaborate with front-end developers & mobile apps developers to ensure seamless communication between server and user interface.
Familiar with the software development life cycle (SDLC) from preliminary system analysis to tests and deployment.
Troubleshoot and optimize application performance for smooth operation.
Create high-performing web applications that meet user and client requirements.

Requirements:

1 - 3 years of experience as a Software Engineer or Software Developer
Bachelor degree in Computer Science, Engineering or relevant field
AI Development (RAG, Langgaraph)
Experience in Large Coding ProjectsH
Serverless Services (Lambda, Aurora, API Gateway, etc)
CDK (Python) or IaC Tools (Deep Knowledge)
Familiar with Linux server and some simple instructions
Familiar with database MySQL operations and able to write some basic query SQL statements
Ability to develop software in Python
Proficient in using code collaboration tools such as GitLab
Docker
AWS
Gitlab




About Us:

“The right people in the right time and the right position would be the key to our company’s improvement; we developed our company through our corporate culture and values.” TOG Indonesia aims to deliver solutions required by companies to compete in today’s digital economy; whereas now it is highly necessary to review and revise a company’s business processes. In countering global challenges.";https://id.linkedin.com/jobs/view/python-developer-at-tog-indonesia-4418242072?position=39&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=PNm%2B8nfnFPqrzg%2FFvGCDuw%3D%3D;Data Scientist;Indonesia;['linux', 'python', 'aws', 'git', 'sql', 'docker', 'mysql'];7
;Revenue Growth Management Analyst;Mondelēz International;Jakarta;"Job Description

Are You Ready to Make It Happen at Mondelēz International?

Join our Mission to Lead the Future of Snacking. Make It With Pride.

As an RGM analyst, you will play a pivotal role in developing our price and mix strategies through data cleansing, in-depth analytics and providing hands-on support in deriving 'so what' conclusions and strategic recommendations. The position offers a unique opportunity to contribute to the success of one of the world's leading FMCG companies in SEA region.

How You Will Contribute

You will:


Data cleansing and analysis: Lead data collection, cleansing and in-depth analysis related to pricing, sales and product & customer mix.
RGM Strategy development: Take ownership of developing and optimizing pricing and product & customer mix actions based on market insights and analysis
Competitor analysis: Conduct research and analysis of competitor pricing and promotional activities to identify opportunities and threats
Performance monitoring: Develop dashboard to monitor and report on the effectiveness of implemented strategies, providing actionable insights for continuous improvement
Forecasting: Utilize data-driven models to support scenario planning
Conclusions and recommendations: Translate data and analysis into strategic conclusions and actionable recommendations, actively contribute to decision-making processes
Stakeholder engagement: Collaborate closely with cross-functional teams, including Marketing, Sales, CP&A and Finance, to ensure alignment and implementation of RGM strategies
Presentation and reporting: Prepare and deliver clear and concise presentations and reports to communicate findings and recommendations to cross-functional teams and senior management



What You Will Bring


A desire to drive your future and accelerate your career and the following experience and knowledge:
'Bachelor's or Master's degree in Business Economics, Finance, Engineering or a related field
Proven experience in data analysis within CPG industry.
Proficiency in data analysis tools such as Excel, Tableau, or similar software
Strong problem-solving skills, attention to detail and ability to think strategically (seeing the bigger picture)
Ability to lead and collaborate in a cross-functional team environment
Enthusiasm for the FMCG industry and Mondelez portfolio of brands
Eagerness to learn and adapt to a fast-paced, dynamic work environment



No Relocation support available

Business Unit Summary

Mondelēz International in Southeast Asia is in five countries serving 19 markets with more than 18 nationalities and 7,500 employees. This group is emerging as one of the fastest growing regions in Asia, the Middle East and Africa, and we are proud of consistently producing high quality products in nine manufacturing sites. We are market leaders in key snacking categories, making and selling brands like Oreo and Tiger biscuits, Kinh Do mooncakes, Jacob’s crackers, Cadbury Dairy Milk chocolate, Tang powdered beverage, Halls candy and Eden cheese. We set the benchmark in being a responsible business and contributing to the communities in which we operate.

Mondelēz International is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation or preference, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

Job Type

Regular

Category Planning & Activation

Sales";https://id.linkedin.com/jobs/view/revenue-growth-management-analyst-at-mondel%C4%93z-international-4418966226?position=40&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=XXDF2tQ8r6LM6l7Kpsv%2FUA%3D%3D;Data Scientist;Indonesia;['tableau'];1
;Applied AI R&D Manager;PT Adicipta Inovasi Teknologi;Jakarta Barat;"Responsibilities

Translate enterprise AI strategy into executable roadmaps
Oversee AI squads to deliver and scale AI models that drive operational and financial impact.
Collaborate with business units, Data & Analytics, and Technology to embed AI solutions into business workflows.
Work backwards to conceptualize and design analytic model frameworks to solve business problems
Strong communication skills to share your learnings, lead with the given strategy, get multiple stakeholders to buy into the vision and execution of the analytics roadmap




Qualifications

Bachelor's degree or equivalent experience in quantitative field (Statistics, Mathematics, Computer Science, Engineering, etc.)
Proven expertise in AI productization, MLOps, and applied machine learning
Demonstrated success in leading AI teams delivering measurable ROI and operational efficiency
At least 5 years of leadership experience
Proven experience to formulate data science solutions to business problems
Proven ability to communicate with business and know business needs
Work experience and knowledge of more than one domain is a plus - Risk Analytics, Marketing Analytics, Fraud analytics etc.
Experience in Model Context Protocol is a plus";https://id.linkedin.com/jobs/view/applied-ai-r-d-manager-at-pt-adicipta-inovasi-teknologi-4418223779?position=42&pageNum=0&refId=lwBVreLlBBVHCnuGlfkdsw%3D%3D&trackingId=J4%2FFxuy6chUrzNABXKYJWA%3D%3D;Data Scientist;Indonesia;[];0
